model,ram_gb,cpu_cores,technology,platform,timestamp,perf_avg_tok_per_s,perf_avg_latency_ms,perf_avg_ttft_ms,perf_success_rate,quality_score_pct,advanced_quality_score_pct,hard_tests_score_pct,multilingual_score_pct,summarization_score_pct,context_window_score_pct,safety_robustness_score_pct,consistency_pct,stress_success_rate,stress_throughput_rps,stress_concurrency,cost_avg_tok_per_s,cost_total_tokens,cost_total_time_s,source_file
qwen2.5-coder:1.5b,,,,,1777924723.4095452,,,,,,,,,,,,78.2,,,,,,,results\consistency_qwen2.5-coder_1.5b_1777924738.json
qwen2.5-coder:1.5b,,,,,1777931386.3061733,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_1.5b_1777931401.json
qwen2.5-coder:1.5b,,,,,1778226193.6532688,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_1.5b_1778226193.json
qwen2.5-coder:1.5b,,,,,1778226927.017904,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_1.5b_1778226940.json
qwen2.5-coder:1.5b,,,,,1778227514.0913198,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_1.5b_1778227524.json
qwen2.5-coder:1.5b,,,,,1778231783.3335686,,,,,,,,,,,,66.4,,,,,,,results\consistency_qwen2.5-coder_1.5b_1778231802.json
qwen2.5-coder:1.5b,,,,,1778234411.8699026,,,,,,,,,,,,68.60000000000001,,,,,,,results\consistency_qwen2.5-coder_1.5b_1778234421.json
qwen2.5-coder:7b,,,,,1778239777.9362361,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778240176.json
qwen2.5-coder:7b,,,,,1778247311.8660715,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778247732.json
qwen2.5-coder:7b,,,,,1778254578.426322,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778254962.json
qwen2.5-coder:7b,,,,,1778262484.8989494,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778262964.json
qwen2.5-coder:7b,,,,,1778269618.31647,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778270038.json
qwen2.5-coder:7b,,,,,1778277474.2880037,,,,,,,,,,,,0.0,,,,,,,results\consistency_qwen2.5-coder_7b_1778277874.json
qwen2.5-coder:1.5b,,,,,1777931450.8533826,,,,,,,0.0,,,,,,,,,,,,results\hard_tests_qwen2.5-coder_1.5b_1777931450.json
qwen2.5-coder:1.5b,,,,,1778226232.3124688,,,,,,,0.0,,,,,,,,,,,,results\hard_tests_qwen2.5-coder_1.5b_1778226232.json
qwen2.5-coder:1.5b,,,,,1778227023.3513243,,,,,,,0.0,,,,,,,,,,,,results\hard_tests_qwen2.5-coder_1.5b_1778227023.json
qwen2.5-coder:1.5b,,,,,1778227601.0119221,,,,,,,0.0,,,,,,,,,,,,results\hard_tests_qwen2.5-coder_1.5b_1778227601.json
qwen2.5-coder:1.5b,2,1.0,ollama,docker,2026-05-03T10:14:04.646727,15.26,11815.6,948.06,100.0,78.57,,,,41.17647058823529,91.8918918918919,51.2,85.0,,,,3.48,750,283.175,backend\results\qwen2.5-coder_1.5b_2GB_1.0c_ollama_docker_20260503_101404.json
qwen2.5-coder:1.5b,2,2.0,ollama,docker,2026-05-03T11:54:57.449462,24.97,7329.15,520.07,100.0,100.0,48.0,,,51.17647058823529,91.8918918918919,57.99999999999999,66.0,,,,7.86,684,125.897,backend\results\qwen2.5-coder_1.5b_2GB_2.0c_ollama_docker_20260503_115457.json
qwen2.5-coder:1.5b,2,4.0,ollama,docker,2026-05-03T13:12:36.026165,34.54,5606.83,299.67,100.0,100.0,48.0,,,52.94117647058824,91.8918918918919,55.2,74.0,100.0,0.07721583636673415,,21.67,870,66.598,backend\results\qwen2.5-coder_1.5b_2GB_4.0c_ollama_docker_20260503_131236.json
qwen2.5-coder:1.5b,2,8.0,ollama,docker,2026-05-08T12:12:47.529219,29.02,6217.83,194.61,100.0,,,,,,,,,,,,,,,backend\results\qwen2.5-coder_1.5b_2GB_8.0cores_ollama_docker_20260508_121247.json
qwen2.5-coder:1.5b,4,1.0,ollama,docker,2026-05-03T13:57:14.657404,15.48,12468.74,948.06,100.0,85.71,,,,45.294117647058826,91.8918918918919,57.199999999999996,69.8,,,,3.59,823,296.514,backend\results\qwen2.5-coder_1.5b_4GB_1.0c_ollama_docker_20260503_135714.json
qwen2.5-coder:1.5b,4,2.0,ollama,docker,2026-05-03T15:38:27.827330,25.9,7608.05,508.43,100.0,64.29,48.0,,,51.17647058823529,91.8918918918919,51.6,87.8,,,,6.55,830,157.409,backend\results\qwen2.5-coder_1.5b_4GB_2.0c_ollama_docker_20260503_153827.json
qwen2.5-coder:1.5b,4,4.0,ollama,docker,2026-05-04T22:53:29.103100,28.96,7027.93,318.35,100.0,100.0,,,,,,,,,,,,,,backend\results\qwen2.5-coder_1.5b_4GB_4.0c_ollama_docker_20260504_225329.json
qwen2.5-coder:1.5b,4,8.0,ollama,docker,2026-05-08T12:57:02.895115,30.48,5029.86,186.78,100.0,,,,,,,,,,,,,,,backend\results\qwen2.5-coder_1.5b_4GB_8.0cores_ollama_docker_20260508_125702.json
